Type                                  Module                      Label             Process   
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "SIM"     
OnlineLuminosityRecord                "onlineMetaDataDigis"       ""                "SIM"     
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "SIM"     
TCDSRecord                            "tcdsDigis"                 "tcdsRecord"      "SIM"     
TotemTriggerCounters                  "totemTriggerRawToDigi"     ""                "SIM"     
double                                "fixedGridRhoAll"           ""                "SIM"     
double                                "fixedGridRhoFastjetAll"    ""                "SIM"     
double                                "fixedGridRhoFastjetAllCalo"   ""                "SIM"     
double                                "fixedGridRhoFastjetAllTmp"   ""                "SIM"     
double                                "fixedGridRhoFastjetCentral"   ""                "SIM"     
double                                "fixedGridRhoFastjetCentralCalo"   ""                "SIM"     
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "SIM"     
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "SIM"     
double                                "ak4CaloJets"               "rho"             "SIM"     
double                                "ak4GenJets"                "rho"             "SIM"     
double                                "ak4GenJetsNoNu"            "rho"             "SIM"     
double                                "ak4PFJets"                 "rho"             "SIM"     
double                                "ak4PFJetsCHS"              "rho"             "SIM"     
double                                "ak4PFJetsPuppi"            "rho"             "SIM"     
double                                "ak8GenJets"                "rho"             "SIM"     
double                                "ak8GenJetsNoNu"            "rho"             "SIM"     
double                                "ak8PFJetsPuppi"            "rho"             "SIM"     
double                                "ak8PFJetsPuppiSoftDrop"    "rho"             "SIM"     
double                                "ak4CaloJets"               "sigma"           "SIM"     
double                                "ak4GenJets"                "sigma"           "SIM"     
double                                "ak4GenJetsNoNu"            "sigma"           "SIM"     
double                                "ak4PFJets"                 "sigma"           "SIM"     
double                                "ak4PFJetsCHS"              "sigma"           "SIM"     
double                                "ak4PFJetsPuppi"            "sigma"           "SIM"     
double                                "ak8GenJets"                "sigma"           "SIM"     
double                                "ak8GenJetsNoNu"            "sigma"           "SIM"     
double                                "ak8PFJetsPuppi"            "sigma"           "SIM"     
double                                "ak8PFJetsPuppiSoftDrop"    "sigma"           "SIM"     
edm::Association<vector<reco::DeDxHitInfo> >    "dedxHitInfo"               ""                "SIM"     
edm::Association<vector<reco::GenParticle> >    "prunedTrackMCMatch"        ""                "SIM"     
edm::Association<vector<reco::GenParticle> >    "muonSimClassifier"         "toPrimaries"     "SIM"     
edm::Association<vector<reco::GenParticle> >    "muonSimClassifier"         "toSecondaries"   "SIM"     
edm::Association<vector<reco::Track> >    "lowPtGsfToTrackLinks"      ""                "SIM"     
edm::Association<vector<reco::TrackExtra> >    "displacedMuonReducedTrackExtras"   ""                "SIM"     
edm::Association<vector<reco::TrackExtra> >    "muonReducedTrackExtras"    ""                "SIM"     
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "SIM"     
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVerticesWithBS"   ""                "SIM"     
